trust_name,ods_code,press_email,press_email_alt,press_source_url,foi_email,foi_email_alt,foi_source_url,notes
Central and North West London NHS Foundation Trust,RV3,cnwl.communications@nhs.net,communications.cnwl@nhs.net,https://www.cnwl.nhs.uk/news/press-office,freedomofinformation.cnwl@nhs.net,,https://www.cnwl.nhs.uk/about/freedom-information-foi,
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,chelwest.comms@nhs.net,,https://www.chelwest.nhs.uk/about-us/news/press-office,chelwest.foi@nhs.net,,https://www.chelwest.nhs.uk/about-us/organisation/our-way-of-working/foi/freedom-of-information,
Cheshire and Wirral Partnership NHS Foundation Trust,RXA,jodie.denrico@cwp.nhs.uk,,Temp/Comms contacts.xlsx (May 2026),cwp.foi@nhs.net,,Temp/Comms contacts.xlsx (May 2026),Cheshire and Wirral Partnership website Cloudflare bot-protected; could not retrieve contact pages; Cheshire & Wirral Partnership: all contact and FOI pages returned 403 to WebFetch (server-side bot block).
Chesterfield Royal Hospital NHS Foundation Trust,RFS,crhft.communications@nhs.net,,https://www.chesterfieldroyal.nhs.uk/about-us/contact-and-find-us/media-enquires,CRHFT.FOI@nhs.net,chesterfield@infreemation.co.uk,https://www.chesterfieldroyal.nhs.uk/about-us/contact-and-find-us/freedom-information-requests,FOI page not found via direct fetch; trust uses publication scheme but no public FOI email located; Chesterfield Royal FOI sub-page 404 at the obvious paths; would need direct site navigation. | foi primary updated 2026-06-27 from chesterfieldroyal.nhs.uk FOI page (only CRHFT.FOI@nhs.net shown); prior value chesterfield@infreemation.co.uk moved to foi_email_alt
Cornwall Partnership NHS Foundation Trust,RJ8,cftcommunications@nhs.net,cpn-tr.Enquiries@nhs.net,https://www.cornwallft.nhs.uk/contact-us/,cpn-tr.freedomofinformation@nhs.net,,https://www.cornwallft.nhs.uk/freedom-of-information/,
Countess of Chester Hospital NHS Foundation Trust,RJR,countess.communications@nhs.net,,https://www.coch.nhs.uk/contact-us/press-office.aspx,foi.enquiries@nhs.net,,https://www.coch.nhs.uk/contact-us/,
County Durham and Darlington NHS Foundation Trust,RXP,cdda-tr.communications@nhs.net,,https://www.cddft.nhs.uk/about-us/media-centre,cdda-tr.cddftfoi@nhs.net,,https://www.cddft.nhs.uk/about-us/corporate-information/freedom-information,
Coventry and Warwickshire Partnership NHS Trust,RYG,media@covwarkpt.nhs.uk,,https://www.covwarkpt.nhs.uk/contact-us,mlcsusars@nhs.net,freedomofinformation@covwarkpt.nhs.uk,https://www.covwarkpt.nhs.uk/contact-us,FOI handled by NHS Midlands and Lancashire CSU shared service
Croydon Health Services NHS Trust,RJ6,chs.comms@nhs.net,,https://www.croydonhealthservices.nhs.uk/contact-us,ch-tr.foi@nhs.net,,https://www.croydonhealthservices.nhs.uk/contact-us,
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",RX4,communications@cntw.nhs.uk,,https://www.cntw.nhs.uk/contact/press/,foi@cntw.nhs.uk,,https://www.cntw.nhs.uk/foi/request/,Cloudflare email-protection decoded
Dartford and Gravesham NHS Trust,RN7,dgn-tr.communications@nhs.net,,https://www.dgt.nhs.uk/contact-us/communicationpress-darent-valley-hospital,dgn-tr.freedomofinformation@nhs.net,,Temp/Comms contacts.xlsx (May 2026),FOI page provided online form/post but no direct email; Dartford & Gravesham FOI page lists only postal address and online form; no email published.
Derbyshire Community Health Services NHS Foundation Trust,RY8,DCHST.communications@nhs.net,,https://dchs.nhs.uk/contact-and-find-us,DCHST.FreedomofInformation@nhs.net,,https://dchs.nhs.uk/about-us/freedom-information,contact pages return 404; investigating
Derbyshire Healthcare NHS Foundation Trust,RXM,dhcft.communications@nhs.net,,https://www.derbyshirehealthcareft.nhs.uk/contact-us/media-enquiries,dhcft.foienquiries@nhs.net,,https://www.derbyshirehealthcareft.nhs.uk/contact-us/freedom-information-requests,
Devon Partnership NHS Trust,RWV,dpn-tr.communications@nhs.net,,https://www.dpt.nhs.uk/get-in-touch,dpt.ig@nhs.net,dpt.saferinformation@nhs.net,https://www.dpt.nhs.uk/get-in-touch,
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,RP5,dbth.comms@nhs.net,Adam.Tingle@nhs.net,https://www.dbth.nhs.uk/contact/communications-team/,d.wraith@nhs.net,dbth.foi@nhs.net,https://www.dbth.nhs.uk/about-us/freedom-of-information/,"FOI is named individual; Doncaster & Bassetlaw publishes only personal comms emails (Emma.Shaheen@nhs.net, adam.tingle@nhs.net) - no generic press address. | press_email re-verified 2026-06-27 on Communications Team page; source_url updated from xlsx placeholder, email unchanged primary updated 2026-09-05 from https://www.dbth.nhs.uk/contact/communications-team/ (page's Media enquiries section now names the generic team mailbox dbth.comms@nhs.net); prior value Adam.Tingle@nhs.net moved to _alt."
Dorset County Hospital NHS Foundation Trust,RBD,dch.communications@nhs.net,communications@dchft.nhs.uk,https://www.dchft.nhs.uk/about-us/contact-us/,dhc.dch.foi.enquiries@nhs.net,FOI@dchft.nhs.uk,https://www.dchft.nhs.uk/about-us/contact-us/,FOI inbox is shared with Dorset HealthCare (dhc prefix); press primary updated 2026-08-08 from https://www.dchft.nhs.uk/about-us/contact-us/ (page lists dch.communications@nhs.net as the media/communications contact); prior value communications@dchft.nhs.uk moved to press_email_alt
Dorset Healthcare University NHS Foundation Trust,RDY,dhc.communications.team@nhs.net,,https://www.dorsethealthcare.nhs.uk/about-us/contact-us,dhc.foi.enquiries@nhs.net,,https://www.dorsethealthcare.nhs.uk/about-us/contact-us,
East Cheshire NHS Trust,RJN,ecntstaff.comms@nhs.net,,https://trust.eastcheshire.nhs.uk/corporate-services/communications-and-engagement,ecn-tr.foirequests@nhs.net,,https://trust.eastcheshire.nhs.uk/freedom-information,
East Kent Hospitals University NHS Foundation Trust,RVV,ekh-tr.communications@nhs.net,,https://www.ekhuft.nhs.uk/contact-us/press-office,ekh-tr.foi@nhs.net,,https://www.ekhuft.nhs.uk/patients-and-visitors/about-us/freedom-of-information/,"FOI page not located; ekhuft.nhs.uk/foi redirects to archive that 404s; East Kent Hospitals FOI page redirects to www-archive.ekhuft.nhs.uk and 404s; site mid-migration. FOI source URL resolved 2026-07-30 to /patients-and-visitors/about-us/freedom-of-information/ (site migration complete); ekh-tr.FOI@nhs.net confirmed on page, address unchanged."
East Lancashire Hospitals NHS Trust,RXR,communications@elht.nhs.uk,,https://elht.nhs.uk/contact-us,foi@elht.nhs.uk,,https://elht.nhs.uk/contact-us,"2026-08-22: contact page could not be read from this machine (Imperva/Incapsula shell on plain fetch, server-side WebFetch and headless Playwright); communications@elht.nhs.uk and foi@elht.nhs.uk both corroborated against the 20 June 2026 Wayback snapshot, addresses left unchanged."
East London NHS Foundation Trust,RWK,elft.communications@nhs.net,,https://www.elft.nhs.uk/contact-us/press-enquiries,elft.foi@nhs.net,,https://www.elft.nhs.uk/contact-us,
East Midlands Ambulance Service NHS Trust,RX9,emascommunications@emas.nhs.uk,,https://www.emas.nhs.uk/news/media-enquiries/,foi.foi@emas.nhs.uk,,https://www.emas.nhs.uk/contact-us/,
East Suffolk and North Essex NHS Foundation Trust,RDE,communications@esneft.nhs.uk,,https://www.esneft.nhs.uk/contact-us/communications-team/,foi@esneft.nhs.uk,,https://www.esneft.nhs.uk/contact-us/,
East Sussex Healthcare NHS Trust,RXC,esht.communications@nhs.net,,Temp/Comms contacts.xlsx (May 2026),esh-tr.foi@nhs.net,,https://www.esht.nhs.uk/about-us/contact-us/freedom-of-information/,"press uses web form, no listed email; East Sussex Healthcare media enquiries page closed connection on fetch; no press email retrieved."
East and North Hertfordshire Teaching NHS Trust,RWH,pressoffice@enherts-tr.nhs.uk,communications.enh-tr@nhs.net,https://www.enherts-tr.nhs.uk/contact/,foi.enh-tr@nhs.net,,https://www.enherts-tr.nhs.uk/foi/,Both emails obscured by Cloudflare email-protection on the pages | press primary updated 2026-05-29 from [https://www.enherts-tr.nhs.uk/contact/]; prior value communications.enh-tr@nhs.net moved to _alt
East of England Ambulance Service NHS Trust,RYC,media@eastamb.nhs.uk,,https://www.eastamb.nhs.uk/media-team,FOI@eastamb.nhs.uk,,https://www.eastamb.nhs.uk/about-us/freedom-of-information,"EEAST: no press/media email visible on contact, newsroom, in-the-news, or about-us pages; site is Next.js app with limited static contact info; East of England Ambulance contact page lists feedback@ and charity@ only; no dedicated press email published. 2026-08-15: press address re-confirmed unchanged; press_source_url repointed from the May 2026 spreadsheet placeholder to the live page [https://www.eastamb.nhs.uk/media-team]."
Epsom and St Helier University Hospitals NHS Trust,RVR,gesh.comms@stgeorges.nhs.uk,,https://www.epsom-sthelier.nhs.uk/media-enquiries,esth.foi@nhs.net,,Temp/Comms contacts.xlsx (May 2026),"GESH group press inbox shared with St George's; FOI directs to online form, no email; Epsom & St Helier FOI page provides only postal address and online form; no email."
Essex Partnership University NHS Foundation Trust,R1L,communications@eput.nhs.uk,epunft.communications@nhs.net,https://www.eput.nhs.uk/contact/,epunft.FOI@nhs.net,,https://www.eput.nhs.uk/about/freedom-of-information/,FOI email obfuscated as [email protected] on website; could not extract; EPUT FOI email decoded from Cloudflare cfemail attribute (epunft = Essex Partnership University NHS Foundation Trust).
Frimley Health NHS Foundation Trust,RDU,fhft.communications@nhs.net,,https://www.fhft.nhs.uk/news,fhft.foi@nhs.net,,https://www.fhft.nhs.uk/about-us/corporate-information-and-publications/freedom-information-foi,
Gateshead Health NHS Foundation Trust,RR7,ghnt.comms@nhs.net,,https://www.gatesheadhealth.nhs.uk/press/,ghnt.foi.enquiries@nhs.net,,https://www.gatesheadhealth.nhs.uk/foi/,Decoded from CloudFlare cfemail data attributes
George Eliot Hospital NHS Trust,RLT,communications@geh.nhs.uk,,https://www.geh.nhs.uk/contact-us/media-enquiries,geh@infreemation.co.uk,freedom.ofinformation@geh.nhs.uk,https://www.geh.nhs.uk/about-us/governance/freedom-information,"in progress [2026-08-01] foi_email primary updated 2026-08-01 from https://www.geh.nhs.uk/about-us/governance/freedom-information — the page now routes requests to the Infreemation portal address geh@infreemation.co.uk and keeps freedom.ofinformation@geh.nhs.uk only for complaints/appeals, so that prior primary moved to _alt; the previous _alt foi@geh.nhs.uk is no longer published."
Gloucestershire Health and Care NHS Foundation Trust,RTQ,ghccomms@ghc.nhs.uk,2gnft.comms@nhs.net,https://www.ghc.nhs.uk/contact-us/,foi@ghc.nhs.uk,FreedomofInformation@ghc.nhs.uk,https://www.ghc.nhs.uk/who-we-are/freedom-of-information/,
Gloucestershire Hospitals NHS Foundation Trust,RTE,ghn-tr.comms@nhs.net,,https://www.gloshospitals.nhs.uk/about-us/news-media/media-enquiries/,ghn-tr.foi@nhs.net,,https://www.gloshospitals.nhs.uk/about-us/our-trust/freedom-information/,FOI page not located on attempted URLs
Great Ormond Street Hospital for Children NHS Foundation Trust,RP4,media@gosh.nhs.uk,,https://www.gosh.nhs.uk/press-office/,foiteam@gosh.nhs.uk,,https://www.gosh.nhs.uk/about-us/freedom-information-act-0/make-foi-request/,GOSH FOI page not located (homepage and search returned no FOI link; /about-us/freedom-of-information/ returns 404). Likely available only via direct contact with information governance; GOSH FOI sub-pages 404 across multiple tested paths; press-office page links to FOI but target unreachable. | foi_source_url updated 2026-07-18 to live FOI page (foiteam@gosh.nhs.uk confirmed on page); prior value was an internal spreadsheet placeholder
Great Western Hospitals NHS Foundation Trust,RN3,gwh.comms@nhs.net,,https://www.gwh.nhs.uk/contact/,gwh.foi@nhs.net,,https://www.gwh.nhs.uk/about-us/information-governance/freedom-of-information-foi/,"FOI page not located; Great Western Hospitals FOI sub-pages 404 across all common paths. | source URLs corrected 2026-06-20 (prior press /contact-us/media-enquiries/ 404; FOI src was a placeholder); addresses unchanged | 2026-08-22: /contact/ publishes only gwh.webmaster@nhs.net - no press address on the page, so gwh.comms@nhs.net is retained unverified this run; gwh.foi@nhs.net re-confirmed on the FOI page."
Greater Manchester Mental Health NHS Foundation Trust,RXV,communications@gmmh.nhs.uk,,https://www.gmmh.nhs.uk/media-centre,foi@gmmh.nhs.uk,,https://www.gmmh.nhs.uk/contact-us,"source url updated 2026-09-05: press address unchanged (communications@gmmh.nhs.uk) but it is no longer printed on https://www.gmmh.nhs.uk/contact-us - it now sits on https://www.gmmh.nhs.uk/media-centre, verified there this run."
Guy's and St Thomas' NHS Foundation Trust,RJ1,gstt.press@nhs.net,press@gstt.nhs.uk,https://www.guysandstthomas.nhs.uk/news/contacts-media-enquiries,gstt.foi@nhs.net,foi@gstt.nhs.uk,https://www.guysandstthomas.nhs.uk/about-us/freedom-information,"FOI email obfuscated by Cloudflare on FOI page; not confirmed; FOI email decoded from Cloudflare cfemail attribute on FOI page. 2026-09-12: both pages are 403 to local fetch (documented WAF); reached via server-side WebFetch instead. Press decoded to gstt.press@nhs.net, matching the primary. The FOI token as relayed decoded one character off (w-stt.foi@nhs.net), consistent with a transcription artefact rather than a changed address, so gstt.foi@nhs.net left as primary."
Hampshire Hospitals NHS Foundation Trust,RN5,communications@hhft.nhs.uk,,https://www.hampshirehospitals.nhs.uk/our-services/az-departments-and-specialties/media-enquiries,foi@hhft.nhs.uk,,https://www.hampshirehospitals.nhs.uk/about-us/freedom-information,press email not found on contact pages; Hampshire Hospitals: no press email surfaced (contact page returned 403). | press_source_url updated 2026-07-18 to live media-enquiries page (communications@hhft.nhs.uk confirmed on page); prior value was an internal spreadsheet placeholder
Harrogate and District NHS Foundation Trust,RCD,communications@hdft.nhs.uk,hdft.hello@nhs.net,https://www.hdft.nhs.uk/contact/,foi@hdft.nhs.uk,hdft.foi@nhs.net,https://www.hdft.nhs.uk/contact/,"Both press and FOI emails on hdft.nhs.uk are obfuscated as [email protected]; confirmed contact phone numbers (press 01423 557470) but emails not extractable 2026-09-12: the [email protected] obfuscation on hdft.nhs.uk was decoded this run (Cloudflare cfemail) - the contact page carries hdft.hello@nhs.net and hdft.foi@nhs.net, i.e. the values already held in the _alt fields; the earlier 'emails not extractable' note is superseded. Neither primary (communications@hdft.nhs.uk, foi@hdft.nhs.uk) appears on the page."
Herefordshire and Worcestershire Health and Care NHS Trust,R1A,whcnhs.communications@nhs.net,,https://www.hacw.nhs.uk/media-enquiries-,WHCNHS.FOIrequest@nhs.net,,https://www.hacw.nhs.uk/freedom-of-information/,
Hertfordshire Community NHS Trust,RY4,hct.communications@nhs.net,,https://www.hct.nhs.uk/contact-us/,hct.foi@nhs.net,,https://www.hct.nhs.uk/contact-us/,
Hertfordshire Partnership University NHS Foundation Trust,RWR,hpft.comms@nhs.net,,https://www.hpft.nhs.uk/contact-us/news-and-media/,hpft.foi@nhs.net,,https://www.hpft.nhs.uk/information-and-resources/your-information-and-privacy/foi-request-form/,"press email not found on site; FOI email not found on site; Hertfordshire Partnership University: contact-us and FOI pages returned 403 to WebFetch (bot block). | contacts added 2026-06-20 from hpft.nhs.uk (record was previously empty) | 2026-08-22: both addresses confirmed via headless browser (hpft.comms@nhs.net on /contact-us/news-and-media/, hpft.foi@nhs.net on the FOI request form page); the pages still 403 plain fetches, so the earlier 'not found on site' note is superseded."
Homerton Healthcare NHS Foundation Trust,RQX,mark.purcell@nhs.net,,https://www.homerton.nhs.uk/press-office,huh-tr.foi@nhs.net,,https://www.homerton.nhs.uk/contact-us,Homerton press contact is named individual (Mark Purcell) rather than team inbox
Hull University Teaching Hospitals NHS Trust,RWA,nlg-tr.comms@nhs.net,hyp-tr.comms@nhs.net,https://www.hull.nhs.uk/contact/,hyp-tr.huthfoi@nhs.net,hyp-tr.foi@nhs.net,https://www.hull.nhs.uk/contact/,hey.nhs.uk redirects to hull.nhs.uk; FOI page hey.nhs.uk/about-us/freedom-of-information redirects to nlg.nhs.uk/foi (NLAG sister trust)
Humber Teaching NHS Foundation Trust,RV9,HNF-TR.communications@nhs.net,,https://www.humber.nhs.uk/news/media-and-communications/,,,https://www.humber.nhs.uk/about/freedom-of-information-and-publication-scheme/,"FOI directs to online form, no direct email listed; Humber FOI page directs requests via online form; no email published."
Imperial College Healthcare NHS Trust,RYJ,imperial.press.office@nhs.net,cara.barrett@nhs.net,https://www.imperial.nhs.uk/contact-and-find-us/press-office,imperial.foi@nhs.net,,https://www.imperial.nhs.uk/about-us/foi/freedom-of-information-requests,
Isle of Wight NHS Trust,R1F,pho-tr.communications@nhs.net,,https://www.iow.nhs.uk/contact-us,iownt.freedomofinformation@nhs.net,,https://www.iow.nhs.uk/about-us/requesting-information,
James Paget University Hospitals NHS Foundation Trust,RGP,communications@jpaget.nhs.uk,,https://www.jpaget.nhs.uk/departments/communications-media/,FOI@jpaget.nhs.uk,,https://www.jpaget.nhs.uk/about-us/freedom-of-information/,
Kent Community Health NHS Foundation Trust,RYY,kchft.comms@nhs.net,,https://www.kentcht.nhs.uk/contact/,kcht.foi@nhs.net,,https://www.kentcht.nhs.uk/contact/,
Kent and Medway Mental Health NHS Trust,RXY,comms.kentandmedway@nhs.net,,Temp/Comms contacts.xlsx (May 2026),kmmh.infoaccess@nhs.net,kmpt.infoaccess@nhs.net,http://www.kentmedwaymentalhealth.nhs.uk/about-us/freedom-of-information/,trust rebranded to Kent Medway Mental Health; press via web form only; KMPT contact page provides media enquiries form only; no published press email.
Kettering General Hospital NHS Foundation Trust,RNQ,kgh-tr.Comms@nhs.net,,https://www.kgh.nhs.uk/contact-us,kgh-tr.foi@nhs.net,,https://www.kgh.nhs.uk/contact-us,
King's College Hospital NHS Foundation Trust,RJZ,kch-tr.mediateam@nhs.net,,https://www.kch.nhs.uk/news/press-media-and-filming/contacting-the-media-team,kch-tr.foi@nhs.net,,https://www.kch.nhs.uk/about/corporate-information/freedom-of-information/,FOI email obfuscated by Cloudflare; postal/online form available; FOI email decoded from Cloudflare cfemail attribute.
Kingston and Richmond NHS Foundation Trust,RAX,krft.comms@nhs.net,hrch.communications@nhs.net,https://www.kingstonandrichmond.nhs.uk/about-us/news/media-enquiries,krft.foienquiries@nhs.net,hrch.freedomofinformation@nhs.net,https://www.kingstonandrichmond.nhs.uk/patients-and-families/patient-records-and-privacy/freedom-information-and-access-records,2026-08-22 ODS merge reconciliation: row RY9 (Hounslow and Richmond Community Healthcare) retired and folded in; merged 1 Nov 2024 to form Kingston and Richmond NHS FT. Legacy HRCH inboxes kept as _alt.
Lancashire Teaching Hospitals NHS Foundation Trust,RXN,communication@lthtr.nhs.uk,,https://www.lancsteachinghospitals.nhs.uk/contact-us,freedomofinformation@lthtr.nhs.uk,,https://www.lancsteachinghospitals.nhs.uk/freedom-of-information,
Lancashire and South Cumbria NHS Foundation Trust,RW5,communications@lscft.nhs.uk,communications@lancashirecare.nhs.uk,https://www.lscft.nhs.uk/contact-us/press-and-media,FOIRequests@lancashirecare.nhs.uk,,https://www.lscft.nhs.uk/about-us/publications-reports-policies/freedom-information,"FOI requests submitted via online form; no direct email provided; Lancashire & South Cumbria FOI page provides postal address and online form only; no FOI email published. | foi_source_url updated 2026-06-27 to live FOI page; FOI published as postal/online-form only, email not re-confirmable on page"
Leeds Community Healthcare NHS Trust,RY6,lch.comms@nhs.net,,https://leedscommunityhealthcare.nhs.uk/contact-us/press-and-media-enquiries/,ig.lch@nhs.net,foi.lch@nhs.net,https://leedscommunityhealthcare.nhs.uk/about-us/access-to-information/data-requests-your-privacy/,
Leeds Teaching Hospitals NHS Trust,RR8,leedsth-tr.researchcomms@nhs.net,communications.lth@nhs.net,https://www.leedsth.nhs.uk/research/contact-us/,leedsth-tr.informationgovernance@nhs.net,,https://www.leedsth.nhs.uk/about/information-governance/subject-access-requests/,
Leeds and York Partnership NHS Foundation Trust,RGD,communications.lypft@nhs.net,,https://www.leedsandyorkpft.nhs.uk/contact-us/,foi.lypft@nhs.net,,https://www.leedsandyorkpft.nhs.uk/contact-us/,
Leicestershire Partnership NHS Trust,RT5,lpt.communications@nhs.net,kamy.basra@leicspart.nhs.uk,https://www.leicspart.nhs.uk/contact/comms/,lpt.foi@nhs.net,FOIrequests@leicspart.nhs.uk,https://www.leicspart.nhs.uk/about/freedom-of-information-requests/,
Lewisham and Greenwich NHS Trust,RJ2,lg.communications@nhs.net,,https://www.lewishamandgreenwich.nhs.uk/contact-us/,foi.lg@nhs.net,,https://www.lewishamandgreenwich.nhs.uk/contact-us/,
